ID,m00,m10,m01,cx,cy,mu20,mu02,mu11,Circularity,IsCircleLike
143,1.0000,996.0000,15.0000,996.0000,15.0000,0.0000,0.0000,0.0000,0.0000,NO
144,2.0000,2257.0000,30.0000,1128.5000,15.0000,0.5000,0.0000,0.0000,1.2732,NO
145,14.0000,16167.0000,232.0000,1154.7857,16.5714,84.3571,23.4286,-41.2857,0.2894,NO
146,2.0000,2367.0000,30.0000,1183.5000,15.0000,0.5000,0.0000,0.0000,1.2732,NO
147,18.0000,1803.0000,319.0000,100.1667,17.7222,120.5000,11.6111,21.8333,0.3903,NO
148,1.0000,556.0000,16.0000,556.0000,16.0000,0.0000,0.0000,0.0000,0.0000,NO
149,14.0000,8827.0000,252.0000,630.5000,18.0000,15.5000,16.0000,2.0000,0.9903,NO
150,1.0000,649.0000,16.0000,649.0000,16.0000,0.0000,0.0000,0.0000,0.0000,NO
151,1.0000,832.0000,16.0000,832.0000,16.0000,0.0000,0.0000,0.0000,0.0000,NO
152,113.0000,21616.0000,2411.0000,191.2920,21.3363,3567.3628,467.2212,734.9027,0.5037,NO
153,1.0000,562.0000,17.0000,562.0000,17.0000,0.0000,0.0000,0.0000,0.0000,NO
154,2.0000,1201.0000,34.0000,600.5000,17.0000,0.5000,0.0000,0.0000,1.2732,NO
155,11.0000,6878.0000,207.0000,625.2727,18.8182,16.1818,9.6364,2.5455,0.7459,NO
156,4.0000,2540.0000,74.0000,635.0000,18.5000,0.0000,5.0000,0.0000,0.5093,NO
157,5.0000,3187.0000,89.0000,637.4000,17.8000,1.2000,2.8000,-0.6000,0.9947,NO
158,1.0000,641.0000,17.0000,641.0000,17.0000,0.0000,0.0000,0.0000,0.0000,NO
159,1.0000,643.0000,17.0000,643.0000,17.0000,0.0000,0.0000,0.0000,0.0000,NO
160,1.0000,712.0000,17.0000,712.0000,17.0000,0.0000,0.0000,0.0000,0.0000,NO
161,23.0000,25990.0000,460.0000,1130.0000,20.0000,358.0000,92.0000,-176.0000,0.1871,NO
162,1.0000,784.0000,18.0000,784.0000,18.0000,0.0000,0.0000,0.0000,0.0000,NO
